"WEEK","DATE","RRACE","compavail_never","comp_answered","percent_total","sig_diff"
1,"4/23/2020",1,624699.438777572,46116299.1990776,0.0135461745549189,"No"
1,"4/23/2020",2,326372.09121831,10626944.5466817,0.0307117525441704,"No"
2,"5/7/2020",1,905287.15962325,47829702.2226581,0.0189273007682325,"No"
2,"5/7/2020",2,346949.04063643,10511773.7003194,0.0330057562622271,"No"
3,"5/4/2020",1,682023.849316016,41891341.819328,0.0162807830853807,"No"
3,"5/4/2020",2,381451.108330233,9957884.93299722,0.0383064386560872,"No"
4,"5/21/2020",1,549513.41666329,41827585.1798023,0.0131375840680528,"No"
4,"5/21/2020",2,281434.33218036,9004991.07401365,0.031253149488678,"No"
5,"5/28/2020",1,656878.962994048,40603327.4676612,0.0161779589004676,"No"
5,"5/28/2020",2,212700.32520769,8688797.03923889,0.0244798358446087,"No"
6,"6/4/2020",1,754353.155163274,40462272.9445478,0.0186433707319678,"No"
6,"6/4/2020",2,300955.99876717,9212577.82609077,0.0326679464150455,"No"
7,"6/11/2020",1,675700.719078178,42942430.8658945,0.0157350365466811,"No"
7,"6/11/2020",2,233085.11709955,9333662.65015809,0.0249725242743375,"No"
8,"6/18/2020",1,757958.782070744,43812273.6222989,0.0173001471826143,"No"
8,"6/18/2020",2,273119.521005646,10572879.7043935,0.0258320844123624,"No"
9,"6/25/2020",1,806442.641164664,43509740.4614233,0.0185347610124146,"No"
9,"6/25/2020",2,395838.958853899,10676722.607801,0.0370749501878672,"No"
10,"7/2/2020",1,662247.690291212,43078744.6450487,0.0153729570289911,"No"
10,"7/2/2020",2,348148.10357698,9755102.80655374,0.0356888195317721,"No"
11,"7/9/2020",1,1110074.81803703,45151655.1328428,0.0245854734399221,"No"
11,"7/9/2020",2,328139.571967801,10134918.6106007,0.032377129464521,"No"
12,"7/16/2020",1,933320.983851605,43254436.2935555,0.0215774626564874,"No"
12,"7/16/2020",2,293378.71121681,9010261.20852528,0.0325605112246049,"No"
13,"8/19/2020",1,492425.203792366,38602171.2884409,0.0127564120710437,"No"
13,"8/19/2020",2,162363.78163631,6405758.37035976,0.0253465354527869,"No"
14,"9/2/2020",1,351488.63285729,37686680.7536687,0.00932660095896276,"No"
14,"9/2/2020",2,73221.31868326,7048500.46490303,0.0103882122229905,"No"
15,"9/16/2020",1,305563.25757043,37767087.624369,0.00809072864208007,"No"
15,"9/16/2020",2,79687.24196016,7729518.99260572,0.0103094697142721,"No"
16,"9/30/2020",1,198822.57179343,37207771.5391718,0.00534357645106782,"No"
16,"9/30/2020",2,58354.26614253,6879570.29730995,0.0084822545043762,"No"
17,"10/14/2020",1,309178.909608117,37174432.3862422,0.00831697728147534,"No"
17,"10/14/2020",2,131937.44359009,7321441.38198021,0.0180206924711327,"No"
18,"10/28/2020",1,209751.56019532,36914577.5449074,0.00568207938828915,"No"
18,"10/28/2020",2,93066.48492332,6785840.78797179,0.0137148052586622,"No"
19,"11/11/2020",1,277847.76236171,37473775.0510435,0.00741445883109589,"No"
19,"11/11/2020",2,132496.88343612,6844285.7990173,0.0193587596028126,"No"
20,"11/25/2020",1,265209.855257382,36884984.7863356,0.0071901847538685,"No"
20,"11/25/2020",2,171082.0035917,6578337.67244912,0.0260068747015241,"No"
21,"12/9/2020",1,266772.884260829,37792708.1242799,0.00705884540963713,"No"
21,"12/9/2020",2,185360.0415957,6937066.25017647,0.0267202351701607,"No"
22,"1/6/2021",1,251250.43995173,36490200.251898,0.00688542233852666,"No"
22,"1/6/2021",2,56857.2240725,6690487.33561596,0.0084982186230034,"No"
23,"1/20/2021",1,220238.58357779,36354635.5296989,0.00605806055730837,"No"
23,"1/20/2021",2,136058.14809153,7010491.11474454,0.0194077912466605,"No"
24,"2/3/2021",1,175271.16259313,36714818.185946,0.00477385348077856,"No"
24,"2/3/2021",2,128673.68156942,6864616.06060726,0.0187444833670766,"No"
25,"2/17/2021",1,214043.12563964,35601217.9850204,0.00601224165222946,"No"
25,"2/17/2021",2,52179.6416832,6781070.01393327,0.00769489794029333,"No"
26,"3/3/2021",1,204507.425573708,34751120.4043376,0.00588491603131684,"No"
26,"3/3/2021",2,147588.7206982,6585507.59474915,0.0224111381810383,"No"
27,"3/17/2021",1,293642.43504578,35742373.4304885,0.00821552703031469,"No"
27,"3/17/2021",2,28672.3516338,5641002.93123125,0.00508284643410772,"No"
28,"4/14/2021",1,132209.26321592,30496774.0255468,0.00433518847289126,"No"
28,"4/14/2021",2,9403.6916232,4940132.11281826,0.00190353039320549,"No"
29,"4/28/2021",1,137453.264873301,30302500.5865481,0.00453603703366709,"No"
29,"4/28/2021",2,31256.57683615,5333671.47522916,0.00586023660836874,"No"
30,"5/12/2021",1,247648.2050691,32179134.0724716,0.0076959250833588,"Yes"
30,"5/12/2021",2,24509.10179357,5401110.05303344,0.00453778974190776,"Yes"
31,"5/26/2021",1,247782.29762964,30554252.3153583,0.00810958471744669,"Yes"
31,"5/26/2021",2,30891.7992049,5180520.60282856,0.00596306849702192,"Yes"
32,"6/9/2021",1,153810.07179535,31001529.3333375,0.00496137045826156,"Yes"
32,"6/9/2021",2,74201.9920832,5961652.41114203,0.0124465478638976,"Yes"
33,"6/23/2021",1,265629.53160474,29927119.7393461,0.00887588026907611,"Yes"
33,"6/23/2021",2,64506.8572551,5390453.43569087,0.0119668703244873,"Yes"
